value,footprint,lcsc,manufacturer,mpn,note
4.7nH,easyeda2kicad:L0402-R-RD,C81215,Sunlord,SDCL0603Q4N7ST02,Auto-selected: Extended 220mA 4.7nH 450mΩ Multilayer inductor 0201 Inductors (SMD) ROHS
USB_C_Plug_USB2.0,easyeda2kicad:TYPE-C-SMD_TYPE-C-6P_1,C53699813,BXCONN,USB2.0-WZ,Auto-selected: Extended 插件 USB Connectors ROHS
BSS84,Package_TO_SOT_SMD:SOT-23,C347485,"UMW(Youtai Semiconductor Co., Ltd.)",BSS84,Auto-selected: Extended -55℃~+150℃ 1 P-Channel 10Ω@5V 12pF 130mA 25pF 2V 300mW 45pF 60V P-Channel SOT-23 MOSFETs ROHS
2N7002,Package_TO_SOT_SMD:SOT-23,C8545,"Jiangsu Changjing Electronics Technology Co., Ltd.",2N7002,Auto-selected: Basic 1 N-channel 115mA 2.5V 225mW 50pF 5pF 5Ω@10V 60V SOT-23 MOSFETs ROHS
47k,Resistor_SMD:R_0402_1005Metric,C25792,UNI-ROYAL(Uniroyal Elec),0402WGF4702TCE,Auto-selected: Basic -55℃~+155℃ 47kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
150k,Resistor_SMD:R_0402_1005Metric,C102813,RALEC,RTT021503FTH,Auto-selected: Extended -55℃~+155℃ 150kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
10k,Resistor_SMD:R_0402_1005Metric,C25744,UNI-ROYAL(Uniroyal Elec),0402WGF1002TCE,Auto-selected: Basic -55℃~+155℃ 10kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
330,Resistor_SMD:R_0402_1005Metric,C168263,Walsin Tech Corp,WR04X330JTL,Auto-selected: Extended -55℃~+155℃ 33Ω 50V 62.5mW Thick Film Resistor ±100ppm/℃ ±5% 0402 Chip Resistor - Surface Mount ROHS
4.7,Resistor_SMD:R_0402_1005Metric,C9900150206,JLCPCB Assembly,4.7K,Auto-selected: Extended 0402 New Arrivals ROHS
5.1k,Resistor_SMD:R_0402_1005Metric,C25905,UNI-ROYAL(Uniroyal Elec),0402WGF5101TCE,Auto-selected: Basic -55℃~+155℃ 5.1kΩ 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
22R,Resistor_SMD:R_0402_1005Metric,C25092,UNI-ROYAL(Uniroyal Elec),0402WGF220JTCE,Auto-selected: Basic -55℃~+155℃ 22Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
22R,Resistor_SMD:R_2512_6332Metric,C175252,Ever Ohms Tech,CRH2512F22R0E04Z,Selected for R7-R10 strobe ballast: Extended -55℃~+155℃ 200V 22Ω 2W Thick Film Resistor ±1% ±100ppm/℃ 2512 Chip Resistor - Surface Mount ROHS
100R,Resistor_SMD:R_0402_1005Metric,C25076,UNI-ROYAL(Uniroyal Elec),0402WGF1000TCE,Auto-selected: Basic -55℃~+155℃ 100Ω 50V 62.5mW Thick Film Resistor ±1% ±100ppm/℃ 0402 Chip Resistor - Surface Mount ROHS
